episode,loss,reward,distance,num_vehicles,customers_served
1,,-9049.395102138054,4543.951021380549,10,101
2,-inf,-9449.318027044203,3543.1802704420197,8,101
3,inf,-8299.311293715462,4043.11293715462,10,101
4,-inf,-9670.788926626581,4257.889266265813,11,101
5,-inf,-10163.586062714196,4685.860627141954,10,101
6,-inf,-10065.463741623973,3704.6374162397306,8,101
7,inf,-8729.75338445535,3847.5338445535194,9,101
8,-inf,-10098.867402115939,5038.674021159384,10,101
9,inf,-9131.287520796805,4362.875207968049,10,101
10,-inf,-9467.133829055334,4721.338290553337,10,101
11,inf,-9064.579612139718,4695.796121397181,10,101
12,-inf,-9651.927606802235,4569.2760680223555,10,101
13,-inf,-10334.120111309325,3391.201113093247,8,101
14,inf,-5338.516672434052,3935.166724340528,11,101
15,-inf,-9914.86368128571,5198.6368128570975,10,101
16,-inf,-9573.799857276252,4787.998572762526,10,101
17,-inf,-10062.041893550277,4670.418935502763,10,101
18,-inf,-9500.84757267103,4058.475726710299,10,101
19,-inf,-10046.670073864989,3516.7007386498985,8,101
20,-inf,-9915.579012005299,4205.790120052993,10,101
21,inf,-9205.633128785295,4106.331287852961,10,101
22,inf,-9234.935491064185,3899.354910641843,9,101
23,inf,-9300.108379313811,3551.083793138117,9,101
24,-inf,-10055.922311366723,4609.223113667234,10,101
25,inf,-8599.077813565264,3540.77813565264,9,101
26,-inf,-10127.203056125501,3822.030561255021,9,101
27,inf,-7576.135382261598,4311.35382261598,11,101
28,inf,-8691.394428616399,3463.944286163983,9,101
29,-inf,-9344.872206199427,3498.722061994257,8,101
30,inf,-8883.932224454755,3389.32224454755,9,101
31,inf,-8390.58262297216,3455.826229721611,9,101
32,inf,-8910.621105923745,4156.211059237445,10,101
33,inf,-8759.34417073537,4143.44170735371,11,101
34,-inf,-9056.310938904964,4113.109389049648,11,101
35,inf,-7209.50574937266,4145.057493726605,10,101
36,inf,-8828.198254875539,4331.982548755386,10,101
37,inf,-8669.51037832159,4745.1037832159145,10,101
38,-inf,-8908.431459883337,3634.3145988333695,9,101
39,-inf,-9249.926618836675,3549.266188366748,8,101
40,inf,-8741.643822367367,3466.4382236736656,8,101
41,-inf,-8998.77881298918,3537.7881298917946,9,101
42,-inf,-9460.539215918176,4155.3921591817525,11,101
43,-inf,-10065.2858419359,4702.8584193589895,10,101
44,inf,-9018.5325180162,4235.325180161999,10,101
45,inf,-8307.507950010184,4125.07950010184,10,101
46,-inf,-9047.752147188163,4527.521471881637,10,101
47,-inf,-9850.466018774709,3554.6601877470803,8,101
48,-inf,-9148.528571780684,3535.285717806835,8,101
49,-inf,-9496.768478540283,3517.684785402834,9,101
50,inf,-8500.76722353873,3557.672235387302,9,101
51,inf,-8629.513935007764,3845.1393500776426,9,101
52,-inf,-9109.970396600278,4149.7039660027785,10,101
53,inf,-8495.60501703994,4506.0501703994005,11,101
54,-inf,-9393.719990551299,3987.1999055129963,10,101
55,-inf,-9536.566499455437,4415.664994554367,10,101
56,inf,-8932.788492939075,3377.884929390739,8,101
57,inf,-8456.463824910474,4614.6382491047425,10,101
58,inf,-6404.169570970078,4091.6957097007853,10,101
59,inf,-8528.10711550472,4331.071155047195,10,101
60,inf,-5094.817843413806,3998.178434138065,10,101
61,inf,-5523.393306991444,4283.93306991444,10,101
62,inf,-7514.90223817888,4199.022381788805,10,101
63,-inf,-10004.178563285883,3591.785632858828,9,101
64,-inf,-9348.725398415903,3537.2539841590346,8,101
65,inf,-7699.467822449627,4044.678224496275,10,101
66,inf,-4713.356660210148,4183.566602101485,10,101
67,inf,-6699.59801302465,4045.980130246498,10,101
68,-inf,-9745.525907438187,3505.259074381875,8,101
69,-inf,-9875.576762413813,4805.767624138132,10,101
70,inf,-5211.68225904322,4166.8225904322035,10,101
71,-inf,-9944.602066001262,3496.020660012621,8,101
72,-inf,-9971.158727682528,4761.587276825281,10,101
73,-inf,-9988.182896830785,4931.828968307847,10,101
74,-inf,-8973.836704724234,3288.3670472423337,9,101
75,-inf,-9659.489270589296,4644.892705892952,10,101
76,-inf,-9764.729290890598,4197.292908905987,11,101
77,-inf,-9538.462403529527,3934.624035295267,9,101
78,inf,-4897.584840541756,4025.848405417567,10,101
79,-inf,-8922.874722929853,4278.7472292985385,10,101
80,-inf,-9622.471669634007,4274.716696340078,10,101
81,-inf,-10306.748769875885,3617.4876987588586,9,101
82,-inf,-9104.776796530272,4097.76796530272,10,101
83,inf,-7311.7154682344535,4167.154682344534,10,101
84,inf,-6525.945613089253,4309.4561308925295,10,101
85,-inf,-8575.066707748445,3300.6670774844456,9,101
86,inf,-5508.808088908378,4138.080889083779,10,101
87,-inf,-8774.714493941921,3297.1449394192086,9,101
88,-inf,-9666.87277960326,4218.727796032598,11,101
89,-inf,-9803.448406362944,4584.48406362944,11,101
90,-inf,-9226.188996365732,3811.889963657325,9,101
91,-inf,-10066.566250106276,4715.662501062752,10,101
92,-inf,-9373.248940121217,4282.489401212166,11,101
93,inf,-5801.1693121523285,4061.693121523287,10,101
94,-inf,-9189.312210706292,4443.12210706292,11,101
95,-inf,-9515.217955374692,4202.179553746923,10,101
96,-inf,-8963.986977132294,4689.86977132294,10,101
97,-inf,-10032.417330607543,4374.17330607543,10,101
98,inf,-7999.11280854633,3541.128085463302,9,101
99,-inf,-9784.09520016439,4890.952001643881,10,101
100,-inf,-10039.657805872932,4446.578058729313,10,101
101,inf,-8559.667136682767,3646.671366827668,10,101
102,inf,-8247.771609263684,4527.716092636836,10,101
103,-inf,-8947.52494275916,4025.249427591604,11,101
104,-inf,-8900.361725442472,4053.617254424708,10,101
105,inf,-8717.55157012822,4225.515701282192,10,101
106,inf,-8462.570497551833,4175.704975518334,11,101
107,inf,-8590.90994137095,3959.099413709502,10,101
108,-inf,-8980.24136118009,4352.41361180089,11,101
109,-inf,-9249.830872360262,4048.3087236026213,11,101
110,inf,-8714.245479201292,4192.454792012915,10,101
111,-inf,-10273.977122353584,3789.771223535849,8,101
112,-inf,-9878.635494573527,4836.354945735267,10,101
113,-inf,-10246.860930538334,4518.609305383346,10,101
114,inf,-5697.7483769644805,4027.4837696448044,10,101
115,-inf,-9809.245103166439,3642.4510316643796,9,101
116,inf,-5770.6090865808565,4256.090865808566,11,101
117,inf,-5543.540141968322,3985.401419683223,11,101
118,-inf,-10106.319853423574,3613.1985342357357,9,101
119,inf,-8311.299680628616,3662.9968062861585,9,101
120,-inf,-9154.309473886948,4093.0947388694804,11,101
121,-inf,-9245.4262262104,3504.262262104009,8,101
122,inf,-8495.906412936938,3509.06412936938,9,101
123,-inf,-9323.324731369346,3783.2473136934564,9,101
124,-inf,-9513.185774576781,3681.857745767802,9,101
125,-inf,-9451.11518543927,4561.151854392706,10,101
126,inf,-7918.415109299744,4234.151092997439,10,101
127,inf,-8620.286479924393,3752.8647992439223,9,101
