Dataset,Algorithm,Status,Total_Distance,Num_Vehicles,Customers_Served,Solve_Time_s,Error
C101,OR-Tools,Feasible,829.01,10.0,100.0,60.0513,
C102,OR-Tools,Feasible,829.01,10.0,100.0,60.0068,
C103,OR-Tools,Feasible,865.69,10.0,100.0,60.013,
C104,OR-Tools,Feasible,824.84,10.0,100.0,60.0158,
C105,OR-Tools,Feasible,829.01,10.0,100.0,60.0094,
C106,OR-Tools,Feasible,829.01,10.0,100.0,60.0103,
C107,OR-Tools,Feasible,829.01,10.0,100.0,60.0248,
C108,OR-Tools,Feasible,829.01,10.0,100.0,60.0063,
C109,OR-Tools,Feasible,854.84,10.0,100.0,60.0091,
C201,OR-Tools,Feasible,966.02,10.0,100.0,60.009,
C202,OR-Tools,Feasible,950.88,10.0,100.0,60.0111,
C203,OR-Tools,Feasible,935.15,10.0,100.0,60.0062,
C204,OR-Tools,Feasible,956.46,10.0,100.0,60.0096,
C205,OR-Tools,Feasible,965.63,10.0,100.0,60.008,
C206,OR-Tools,Feasible,1010.98,10.0,100.0,60.0754,
C207,OR-Tools,Feasible,975.74,10.0,100.0,60.0773,
C208,OR-Tools,Feasible,954.62,10.0,100.0,60.0268,
R101,OR-Tools,Error,,,,,'NoneType' object is not subscriptable
R102,OR-Tools,Error,,,,,'NoneType' object is not subscriptable
R103,OR-Tools,Feasible,1226.16,14.0,100.0,60.0101,
R104,OR-Tools,Feasible,1020.44,11.0,100.0,60.0099,
R105,OR-Tools,Feasible,1399.08,16.0,100.0,60.008,
R106,OR-Tools,Feasible,1297.68,14.0,100.0,60.0207,
R107,OR-Tools,Feasible,1119.9,12.0,100.0,60.008,
R108,OR-Tools,Feasible,977.34,11.0,100.0,60.0066,
R109,OR-Tools,Feasible,1214.26,14.0,100.0,60.0099,
R110,OR-Tools,Feasible,1118.09,13.0,100.0,60.0103,
R111,OR-Tools,Feasible,1088.15,12.0,100.0,60.0132,
R112,OR-Tools,Feasible,987.41,11.0,100.0,60.0186,
R201,OR-Tools,Feasible,1214.27,8.0,100.0,60.0104,
R202,OR-Tools,Feasible,1096.02,8.0,100.0,60.0092,
R203,OR-Tools,Feasible,946.43,8.0,100.0,60.012,
R204,OR-Tools,Feasible,863.79,8.0,100.0,60.0142,
R205,OR-Tools,Feasible,1030.95,8.0,100.0,60.0102,
R206,OR-Tools,Feasible,954.65,8.0,100.0,60.0089,
R207,OR-Tools,Feasible,901.25,8.0,100.0,60.0455,
R208,OR-Tools,Feasible,861.71,8.0,100.0,60.0095,
R209,OR-Tools,Feasible,950.02,8.0,100.0,60.0084,
R210,OR-Tools,Feasible,976.22,8.0,100.0,60.0102,
R211,OR-Tools,Feasible,869.22,8.0,100.0,60.0111,
RC101,OR-Tools,Feasible,1753.73,17.0,100.0,60.009,
RC102,OR-Tools,Feasible,1548.61,16.0,100.0,60.0087,
RC103,OR-Tools,Feasible,1362.82,13.0,100.0,60.0092,
RC104,OR-Tools,Feasible,1238.26,11.0,100.0,60.0243,
RC105,OR-Tools,Feasible,1588.21,17.0,100.0,60.0095,
RC106,OR-Tools,Feasible,1427.96,14.0,100.0,60.0075,
RC107,OR-Tools,Feasible,1277.81,13.0,100.0,60.0339,
RC108,OR-Tools,Feasible,1235.11,12.0,100.0,60.0149,
RC201,OR-Tools,Feasible,1359.3,11.0,100.0,60.0105,
RC202,OR-Tools,Feasible,1269.0,9.0,100.0,60.0106,
RC203,OR-Tools,Feasible,1143.38,9.0,100.0,60.0143,
RC204,OR-Tools,Feasible,1055.01,9.0,100.0,60.0137,
RC205,OR-Tools,Feasible,1289.93,10.0,100.0,60.0077,
RC206,OR-Tools,Feasible,1232.48,9.0,100.0,60.0107,
RC207,OR-Tools,Feasible,1134.26,9.0,100.0,60.0099,
RC208,OR-Tools,Feasible,1065.81,9.0,100.0,60.0087,
