id,name,lat,lon,demand,ready_time,due_date,service_time
DEPOT,DHCT,10.030874,105.768299,0,0,480,0
1,KH_1,10.01983072735235,105.77576637268068,25,30,240,12
2,KH_2,10.006905676360336,105.77001571655273,18,0,180,8
3,KH_3,9.995923202567555,105.76752662658691,32,45,220,15
4,KH_4,9.99997831304335,105.795636177063,28,20,200,10
5,KH_5,10.017881940565735,105.793833732605,22,60,280,12
6,KH_6,10.026673559202987,105.79052925109865,35,0,160,10
7,KH_7,10.033854822022814,105.7831907272339,20,40,260,8
8,KH_8,10.036114443319288,105.77834129333496,27,15,190,12
9,KH_9,10.039408816202643,105.7756805419922,30,50,250,15
10,KH_10,10.034805131966102,105.77417850494385,24,10,200,10
11,KH_11,10.043193538193812,105.77261209487916,19,35,230,8
12,KH_12,10.046994651536469,105.77677488327028,33,25,210,12
13,KH_13,10.038903341350448,105.7921594665551,26,55,270,10
14,KH_14,10.022297685066402,105.78177452087404,21,0,180,8
15,KH_15,10.019444656445001,105.77932834625246,29,40,240,15
16,KH_16,10.013974797399996,105.7765817642212,23,20,200,10
17,KH_17,10.0207542817078,105.76789140701294,31,45,260,12
18,KH_18,10.026181789341855,105.76724767684938,17,10,170,8
19,KH_19,10.02320496726782,105.75917959213257,28,30,220,10
20,KH_20,10.025169552100293,105.7722043991089,25,0,190,12
21,KH_21,10.023606657765065,105.78583002090456,34,50,280,15
22,KH_22,10.045009585466833,105.76437234878541,20,35,240,8
23,KH_23,10.046595782959596,105.76632499694826,27,15,200,10
24,KH_24,10.038779246087294,105.76359987258913,22,60,290,12
25,KH_25,10.047608754450604,105.77198982238771,30,25,230,15
26,KH_26,10.033244401772784,105.76171159744264,24,40,250,10
27,KH_27,10.034976078844519,105.76473712921143,26,10,180,8
28,KH_28,10.04374303706985,105.76969385147096,19,45,270,12
29,KH_29,10.045158116222035,105.78469276428224,32,20,210,10
30,KH_30,10.04287744062743,105.78864097595216,28,55,300,15
