================================================================================
BÁO CÁO TRỰC QUAN HÓA DATASET SOLOMON VRPTW
Dataset: C108
================================================================================

1. THÔNG TIN TỔNG QUAN
--------------------------------------------------------------------------------
   Số lượng khách hàng: 100
   Vị trí kho: (40.0, 50.0)

2. PHÂN TÍCH NHU CẦU
--------------------------------------------------------------------------------
   Tổng nhu cầu: 1810
   Nhu cầu trung bình: 18.10
   Nhu cầu median: 10.00
   Nhu cầu min: 10
   Nhu cầu max: 50
   Độ lệch chuẩn: 10.42

3. PHÂN TÍCH CỬA SỔ THỜI GIAN
--------------------------------------------------------------------------------
   Ready Time sớm nhất: 10
   Ready Time muộn nhất: 867
   Due Date sớm nhất: 223
   Due Date muộn nhất: 1130
   Độ rộng TW trung bình: 243.28
   Độ rộng TW median: 245.00
   Độ rộng TW min: 149
   Độ rộng TW max: 353
   Tổng khoảng thời gian: 1120

4. PHÂN TÍCH THỜI GIAN PHỤC VỤ
--------------------------------------------------------------------------------
   Service Time trung bình: 90.00
   Service Time median: 90.00
   Service Time min: 90
   Service Time max: 90
   Tổng Service Time: 9000

5. PHÂN TÍCH KHÔNG GIAN
--------------------------------------------------------------------------------
   Phạm vi tọa độ X: 0.0 - 95.0
   Phạm vi tọa độ Y: 5.0 - 85.0
   Khoảng cách trung bình từ kho: 28.85
   Khoảng cách median từ kho: 25.25
   Khoảng cách min từ kho: 10.00
   Khoảng cách max từ kho: 58.52

6. PHÂN TÍCH TƯƠNG QUAN
--------------------------------------------------------------------------------
   Tương quan (Khoảng cách - Độ rộng TW): 0.0585
   Tương quan (Khoảng cách - Nhu cầu): 0.2206
   Tương quan (Độ rộng TW - Nhu cầu): -0.1571
   Tương quan (Thời gian phục vụ - Nhu cầu): nan

7. DANH SÁCH CHI TIẾT CÁC KHÁCH HÀNG
--------------------------------------------------------------------------------
STT   Tọa độ X   Tọa độ Y   Nhu cầu    Ready      Due        Service    KC từ kho   
--------------------------------------------------------------------------------
2     45.0       68.0       10         830        1049       90         18.68       
3     45.0       70.0       30         756        939        90         20.62       
4     42.0       66.0       10         16         336        90         16.12       
5     42.0       68.0       10         643        866        90         18.11       
6     42.0       65.0       10         15         226        90         15.13       
7     40.0       69.0       20         499        824        90         19.00       
8     40.0       66.0       20         87         308        90         16.00       
9     38.0       68.0       20         150        429        90         18.11       
10    38.0       70.0       10         429        710        90         20.10       
11    35.0       66.0       10         279        488        90         16.76       
12    35.0       69.0       10         363        590        90         19.65       
13    25.0       85.0       20         547        826        90         38.08       
14    22.0       75.0       30         30         280        90         30.81       
15    22.0       85.0       10         489        698        90         39.36       
16    20.0       80.0       40         318        495        90         36.06       
17    20.0       85.0       40         394        609        90         40.31       
18    18.0       75.0       20         33         226        90         33.30       
19    15.0       75.0       20         68         365        90         35.36       
20    15.0       80.0       10         176        447        90         39.05       
21    30.0       50.0       10         10         265        90         10.00       
22    30.0       52.0       20         836        1043       90         10.20       
23    28.0       52.0       20         704        991        90         12.17       
24    28.0       55.0       10         664        845        90         13.00       
25    25.0       50.0       10         15         333        90         15.00       
26    25.0       52.0       40         88         305        90         15.13       
27    25.0       55.0       10         502        821        90         15.81       
28    23.0       52.0       10         179        398        90         17.12       
29    23.0       55.0       20         476        663        90         17.72       
30    20.0       50.0       10         288        475        90         20.00       
31    20.0       55.0       10         368        585        90         20.62       
32    10.0       35.0       20         144        293        90         33.54       
33    10.0       40.0       30         31         309        90         31.62       
34    8.0        40.0       40         33         313        90         33.53       
35    8.0        45.0       20         655        912        90         32.39       
36    5.0        35.0       10         191        436        90         38.08       
37    5.0        45.0       10         588        793        90         35.36       
38    2.0        40.0       20         305        512        90         39.29       
39    0.0        40.0       30         414        587        90         41.23       
40    0.0        45.0       20         481        710        90         40.31       
41    35.0       30.0       10         180        405        90         20.62       
42    35.0       32.0       10         63         338        90         18.68       
43    33.0       32.0       20         19         345        90         19.31       
44    33.0       35.0       10         16         273        90         16.55       
45    32.0       30.0       10         278        493        90         21.54       
46    30.0       30.0       10         453        688        90         22.36       
47    30.0       32.0       30         355        602        90         20.59       
48    30.0       35.0       10         837        1127       90         18.03       
49    28.0       30.0       10         539        786        90         23.32       
50    28.0       35.0       10         867        1126       90         19.21       
51    26.0       32.0       10         719        976        90         22.80       
52    25.0       30.0       10         635        876        90         25.00       
53    25.0       35.0       10         825        1056       90         21.21       
54    44.0       5.0        20         193        440        90         45.18       
55    42.0       10.0       40         78         365        90         40.05       
56    42.0       15.0       10         35         287        90         35.06       
57    40.0       5.0        30         308        513        90         45.00       
58    40.0       15.0       40         35         246        90         35.00       
59    38.0       5.0        30         376        629        90         45.04       
60    38.0       15.0       10         519        872        90         35.06       
61    35.0       5.0        20         463        728        90         45.28       
62    50.0       30.0       10         412        729        90         22.36       
63    50.0       35.0       20         181        398        90         18.03       
64    50.0       40.0       50         100        289        90         14.14       
65    48.0       30.0       10         539        786        90         21.54       
66    48.0       40.0       10         12         223        90         12.81       
67    47.0       35.0       10         753        948        90         16.55       
68    47.0       40.0       10         12         275        90         12.21       
69    45.0       30.0       10         669        842        90         20.62       
70    45.0       35.0       10         836        1049       90         15.81       
71    95.0       30.0       30         284        559        90         58.52       
72    95.0       35.0       20         194        459        90         57.01       
73    53.0       30.0       10         367        588        90         23.85       
74    92.0       30.0       10         370        659        90         55.71       
75    53.0       35.0       50         263        502        90         19.85       
76    45.0       65.0       20         847        1130       90         15.81       
77    90.0       35.0       10         119        344        90         52.20       
78    88.0       30.0       10         469        748        90         52.00       
79    88.0       35.0       20         50         295        90         50.29       
80    87.0       30.0       10         573        826        90         51.08       
81    85.0       25.0       10         694        895        90         51.48       
82    85.0       35.0       30         47         356        90         47.43       
83    75.0       55.0       20         293        496        90         35.36       
84    72.0       55.0       10         154        449        90         32.39       
85    70.0       58.0       20         360        621        90         31.05       
86    68.0       60.0       30         470        697        90         29.73       
87    66.0       55.0       10         76         335        90         26.48       
88    65.0       55.0       20         25         260        90         25.50       
89    65.0       60.0       30         551        802        90         26.93       
90    63.0       58.0       10         640        899        90         24.35       
91    60.0       55.0       10         20         276        90         20.62       
92    60.0       60.0       10         756        969        90         22.36       
93    67.0       85.0       20         257        552        90         44.20       
94    65.0       85.0       40         409        584        90         43.01       
95    65.0       82.0       10         209        412        90         40.61       
96    62.0       80.0       30         130        305        90         37.20       
97    60.0       80.0       10         36         283        90         36.06       
98    60.0       85.0       30         470        713        90         40.31       
99    58.0       75.0       20         30         248        90         30.81       
100   55.0       80.0       10         628        935        90         33.54       
101   55.0       85.0       20         530        843        90         38.08       

================================================================================
Báo cáo được tạo tự động từ VRPTWVisualizer
================================================================================
