================================================================================
BÁO CÁO TRỰC QUAN HÓA DATASET SOLOMON VRPTW
Dataset: C205
================================================================================

1. THÔNG TIN TỔNG QUAN
--------------------------------------------------------------------------------
   Số lượng khách hàng: 100
   Vị trí kho: (40.0, 50.0)

2. PHÂN TÍCH NHU CẦU
--------------------------------------------------------------------------------
   Tổng nhu cầu: 1810
   Nhu cầu trung bình: 18.10
   Nhu cầu median: 10.00
   Nhu cầu min: 10
   Nhu cầu max: 50
   Độ lệch chuẩn: 10.42

3. PHÂN TÍCH CỬA SỔ THỜI GIAN
--------------------------------------------------------------------------------
   Ready Time sớm nhất: 8
   Ready Time muộn nhất: 2959
   Due Date sớm nhất: 328
   Due Date muộn nhất: 3279
   Độ rộng TW trung bình: 320.00
   Độ rộng TW median: 320.00
   Độ rộng TW min: 320
   Độ rộng TW max: 320
   Tổng khoảng thời gian: 3271

4. PHÂN TÍCH THỜI GIAN PHỤC VỤ
--------------------------------------------------------------------------------
   Service Time trung bình: 90.00
   Service Time median: 90.00
   Service Time min: 90
   Service Time max: 90
   Tổng Service Time: 9000

5. PHÂN TÍCH KHÔNG GIAN
--------------------------------------------------------------------------------
   Phạm vi tọa độ X: 0.0 - 95.0
   Phạm vi tọa độ Y: 5.0 - 85.0
   Khoảng cách trung bình từ kho: 29.71
   Khoảng cách median từ kho: 30.67
   Khoảng cách min từ kho: 8.25
   Khoảng cách max từ kho: 58.52

6. PHÂN TÍCH TƯƠNG QUAN
--------------------------------------------------------------------------------
   Tương quan (Khoảng cách - Độ rộng TW): nan
   Tương quan (Khoảng cách - Nhu cầu): 0.1628
   Tương quan (Độ rộng TW - Nhu cầu): nan
   Tương quan (Thời gian phục vụ - Nhu cầu): nan

7. DANH SÁCH CHI TIẾT CÁC KHÁCH HÀNG
--------------------------------------------------------------------------------
STT   Tọa độ X   Tọa độ Y   Nhu cầu    Ready      Due        Service    KC từ kho   
--------------------------------------------------------------------------------
2     52.0       75.0       10         231        551        90         27.73       
3     45.0       70.0       30         133        453        90         20.62       
4     62.0       69.0       10         1087       1407       90         29.07       
5     60.0       66.0       10         1181       1501       90         25.61       
6     42.0       65.0       10         15         335        90         15.13       
7     16.0       42.0       20         417        737        90         25.30       
8     58.0       70.0       20         993        1313       90         26.91       
9     34.0       60.0       20         2807       3127       90         11.66       
10    28.0       70.0       10         2521       2841       90         23.32       
11    35.0       66.0       10         2711       3031       90         16.76       
12    35.0       69.0       10         2618       2938       90         19.65       
13    25.0       85.0       20         2039       2359       90         38.08       
14    22.0       75.0       30         2325       2645       90         30.81       
15    22.0       85.0       10         1946       2266       90         39.36       
16    20.0       80.0       40         2136       2456       90         36.06       
17    20.0       85.0       40         1854       2174       90         40.31       
18    18.0       75.0       20         2231       2551       90         33.30       
19    15.0       75.0       20         1662       1982       90         35.36       
20    15.0       80.0       10         1757       2077       90         39.05       
21    30.0       50.0       10         10         330        90         10.00       
22    30.0       56.0       20         2903       3223       90         11.66       
23    28.0       52.0       20         12         332        90         12.17       
24    14.0       66.0       10         1563       1883       90         30.53       
25    25.0       50.0       10         36         356        90         15.00       
26    22.0       66.0       40         2424       2744       90         24.08       
27    8.0        62.0       10         1465       1785       90         34.18       
28    23.0       52.0       10         129        449        90         17.12       
29    4.0        55.0       20         1367       1687       90         36.35       
30    20.0       50.0       10         318        638        90         20.00       
31    20.0       55.0       10         223        543        90         20.62       
32    10.0       35.0       20         701        1021       90         33.54       
33    10.0       40.0       30         513        833        90         31.62       
34    8.0        40.0       40         605        925        90         33.53       
35    8.0        45.0       20         1266       1586       90         32.39       
36    5.0        35.0       10         796        1116       90         38.08       
37    5.0        45.0       10         1173       1493       90         35.36       
38    2.0        40.0       20         891        1211       90         39.29       
39    0.0        40.0       30         983        1303       90         41.23       
40    0.0        45.0       20         1078       1398       90         40.31       
41    36.0       18.0       10         1739       2059       90         32.25       
42    35.0       32.0       10         2678       2998       90         18.68       
43    33.0       32.0       20         2586       2906       90         19.31       
44    33.0       35.0       10         2493       2813       90         16.55       
45    32.0       20.0       10         1833       2153       90         31.05       
46    30.0       30.0       10         2025       2345       90         22.36       
47    34.0       25.0       30         1929       2249       90         25.71       
48    30.0       35.0       10         2400       2720       90         18.03       
49    36.0       40.0       10         2776       3096       90         10.77       
50    48.0       20.0       10         887        1207       90         31.05       
51    26.0       32.0       10         2212       2532       90         22.80       
52    25.0       30.0       10         2120       2440       90         25.00       
53    25.0       35.0       10         2305       2625       90         21.21       
54    44.0       5.0        20         1176       1496       90         45.18       
55    42.0       10.0       40         1080       1400       90         40.05       
56    42.0       15.0       10         985        1305       90         35.06       
57    40.0       5.0        30         1270       1590       90         45.00       
58    38.0       15.0       40         1645       1965       90         35.06       
