================================================================================
BÁO CÁO TRỰC QUAN HÓA DATASET SOLOMON VRPTW
Dataset: R101
================================================================================

1. THÔNG TIN TỔNG QUAN
--------------------------------------------------------------------------------
   Số lượng khách hàng: 100
   Vị trí kho: (35.0, 35.0)

2. PHÂN TÍCH NHU CẦU
--------------------------------------------------------------------------------
   Tổng nhu cầu: 1458
   Nhu cầu trung bình: 14.58
   Nhu cầu median: 13.00
   Nhu cầu min: 1
   Nhu cầu max: 41
   Độ lệch chuẩn: 8.87

3. PHÂN TÍCH CỬA SỔ THỜI GIAN
--------------------------------------------------------------------------------
   Ready Time sớm nhất: 18
   Ready Time muộn nhất: 200
   Due Date sớm nhất: 28
   Due Date muộn nhất: 210
   Độ rộng TW trung bình: 10.00
   Độ rộng TW median: 10.00
   Độ rộng TW min: 10
   Độ rộng TW max: 10
   Tổng khoảng thời gian: 192

4. PHÂN TÍCH THỜI GIAN PHỤC VỤ
--------------------------------------------------------------------------------
   Service Time trung bình: 10.00
   Service Time median: 10.00
   Service Time min: 10
   Service Time max: 10
   Tổng Service Time: 1000

5. PHÂN TÍCH KHÔNG GIAN
--------------------------------------------------------------------------------
   Phạm vi tọa độ X: 2.0 - 67.0
   Phạm vi tọa độ Y: 3.0 - 77.0
   Khoảng cách trung bình từ kho: 24.95
   Khoảng cách median từ kho: 24.88
   Khoảng cách min từ kho: 4.47
   Khoảng cách max từ kho: 49.93

6. PHÂN TÍCH TƯƠNG QUAN
--------------------------------------------------------------------------------
   Tương quan (Khoảng cách - Độ rộng TW): nan
   Tương quan (Khoảng cách - Nhu cầu): 0.0642
   Tương quan (Độ rộng TW - Nhu cầu): nan
   Tương quan (Thời gian phục vụ - Nhu cầu): nan

7. DANH SÁCH CHI TIẾT CÁC KHÁCH HÀNG
--------------------------------------------------------------------------------
STT   Tọa độ X   Tọa độ Y   Nhu cầu    Ready      Due        Service    KC từ kho   
--------------------------------------------------------------------------------
2     41.0       49.0       10         161        171        10         15.23       
3     35.0       17.0       7          50         60         10         18.00       
4     55.0       45.0       13         116        126        10         22.36       
5     55.0       20.0       19         149        159        10         25.00       
6     15.0       30.0       26         34         44         10         20.62       
7     25.0       30.0       3          99         109        10         11.18       
8     20.0       50.0       5          81         91         10         21.21       
9     10.0       43.0       9          95         105        10         26.25       
10    55.0       60.0       16         97         107        10         32.02       
11    30.0       60.0       16         124        134        10         25.50       
12    20.0       65.0       12         67         77         10         33.54       
13    50.0       35.0       19         63         73         10         15.00       
14    30.0       25.0       23         159        169        10         11.18       
15    15.0       10.0       20         32         42         10         32.02       
16    30.0       5.0        8          61         71         10         30.41       
17    10.0       20.0       19         75         85         10         29.15       
18    5.0        30.0       2          157        167        10         30.41       
19    20.0       40.0       12         87         97         10         15.81       
20    15.0       60.0       17         76         86         10         32.02       
21    45.0       65.0       9          126        136        10         31.62       
22    45.0       20.0       11         62         72         10         18.03       
23    45.0       10.0       18         97         107        10         26.93       
24    55.0       5.0        29         68         78         10         36.06       
25    65.0       35.0       3          153        163        10         30.00       
26    65.0       20.0       6          172        182        10         33.54       
27    45.0       30.0       17         132        142        10         11.18       
28    35.0       40.0       16         37         47         10         5.00        
29    41.0       37.0       16         39         49         10         6.32        
30    64.0       42.0       9          63         73         10         29.83       
31    40.0       60.0       21         71         81         10         25.50       
32    31.0       52.0       27         50         60         10         17.46       
33    35.0       69.0       23         141        151        10         34.00       
34    53.0       52.0       11         37         47         10         24.76       
35    65.0       55.0       14         117        127        10         36.06       
36    63.0       65.0       8          143        153        10         41.04       
37    2.0        60.0       5          41         51         10         41.40       
38    20.0       20.0       8          134        144        10         21.21       
39    5.0        5.0        16         83         93         10         42.43       
40    60.0       12.0       31         44         54         10         33.97       
41    40.0       25.0       9          85         95         10         11.18       
42    42.0       7.0        5          97         107        10         28.86       
43    24.0       12.0       5          31         41         10         25.50       
44    23.0       3.0        7          132        142        10         34.18       
45    11.0       14.0       18         69         79         10         31.89       
46    6.0        38.0       16         32         42         10         29.15       
47    2.0        48.0       1          117        127        10         35.47       
48    8.0        56.0       27         51         61         10         34.21       
49    13.0       52.0       36         165        175        10         27.80       
50    6.0        68.0       30         108        118        10         43.93       
51    47.0       47.0       13         124        134        10         16.97       
52    49.0       58.0       10         88         98         10         26.93       
53    27.0       43.0       9          52         62         10         11.31       
54    37.0       31.0       14         95         105        10         4.47        
55    57.0       29.0       18         140        150        10         22.80       
56    63.0       23.0       2          136        146        10         30.46       
57    53.0       12.0       6          130        140        10         29.21       
58    32.0       12.0       7          101        111        10         23.19       
59    36.0       26.0       18         200        210        10         9.06        
60    21.0       24.0       28         18         28         10         17.80       
61    17.0       34.0       3          162        172        10         18.03       
62    12.0       24.0       13         76         86         10         25.50       
63    24.0       58.0       19         58         68         10         25.50       
64    27.0       69.0       10         34         44         10         34.93       
65    15.0       77.0       9          73         83         10         46.52       
66    62.0       77.0       20         51         61         10         49.93       
67    49.0       73.0       25         127        137        10         40.50       
68    67.0       5.0        25         83         93         10         43.86       
69    56.0       39.0       36         142        152        10         21.38       
70    37.0       47.0       6          50         60         10         12.17       
71    37.0       56.0       5          182        192        10         21.10       
72    57.0       68.0       15         77         87         10         39.66       
73    47.0       16.0       25         35         45         10         22.47       
74    44.0       17.0       9          78         88         10         20.12       
75    46.0       13.0       8          149        159        10         24.60       
76    49.0       11.0       18         69         79         10         27.78       
77    49.0       42.0       13         73         83         10         15.65       
78    53.0       43.0       14         179        189        10         19.70       
79    61.0       52.0       3          96         106        10         31.06       
80    57.0       48.0       23         92         102        10         25.55       
81    56.0       37.0       6          182        192        10         21.10       
82    55.0       54.0       26         94         104        10         27.59       
83    15.0       47.0       16         55         65         10         23.32       
84    14.0       37.0       11         44         54         10         21.10       
85    11.0       31.0       7          101        111        10         24.33       
86    16.0       22.0       41         91         101        10         23.02       
87    4.0        18.0       35         94         104        10         35.36       
88    28.0       18.0       26         93         103        10         18.38       
89    26.0       52.0       9          74         84         10         19.24       
90    26.0       35.0       15         176        186        10         9.00        
91    31.0       67.0       3          95         105        10         32.25       
92    15.0       19.0       1          160        170        10         25.61       
93    22.0       22.0       2          18         28         10         18.38       
94    18.0       24.0       22         188        198        10         20.25       
95    26.0       27.0       27         100        110        10         12.04       
96    25.0       24.0       20         39         49         10         14.87       
97    22.0       27.0       11         135        145        10         15.26       
98    25.0       21.0       12         133        143        10         17.20       
99    19.0       21.0       10         58         68         10         21.26       
100   20.0       26.0       9          83         93         10         17.49       
101   18.0       18.0       17         185        195        10         24.04       

================================================================================
Báo cáo được tạo tự động từ VRPTWVisualizer
================================================================================
