================================================================================
BÁO CÁO TRỰC QUAN HÓA DATASET SOLOMON VRPTW
Dataset: R112
================================================================================

1. THÔNG TIN TỔNG QUAN
--------------------------------------------------------------------------------
   Số lượng khách hàng: 100
   Vị trí kho: (35.0, 35.0)

2. PHÂN TÍCH NHU CẦU
--------------------------------------------------------------------------------
   Tổng nhu cầu: 1458
   Nhu cầu trung bình: 14.58
   Nhu cầu median: 13.00
   Nhu cầu min: 1
   Nhu cầu max: 41
   Độ lệch chuẩn: 8.87

3. PHÂN TÍCH CỬA SỔ THỜI GIAN
--------------------------------------------------------------------------------
   Ready Time sớm nhất: 5
   Ready Time muộn nhất: 92
   Due Date sớm nhất: 128
   Due Date muộn nhất: 211
   Độ rộng TW trung bình: 117.64
   Độ rộng TW median: 118.00
   Độ rộng TW min: 73
   Độ rộng TW max: 166
   Tổng khoảng thời gian: 206

4. PHÂN TÍCH THỜI GIAN PHỤC VỤ
--------------------------------------------------------------------------------
   Service Time trung bình: 10.00
   Service Time median: 10.00
   Service Time min: 10
   Service Time max: 10
   Tổng Service Time: 1000

5. PHÂN TÍCH KHÔNG GIAN
--------------------------------------------------------------------------------
   Phạm vi tọa độ X: 2.0 - 67.0
   Phạm vi tọa độ Y: 3.0 - 77.0
   Khoảng cách trung bình từ kho: 24.95
   Khoảng cách median từ kho: 24.88
   Khoảng cách min từ kho: 4.47
   Khoảng cách max từ kho: 49.93

6. PHÂN TÍCH TƯƠNG QUAN
--------------------------------------------------------------------------------
   Tương quan (Khoảng cách - Độ rộng TW): -0.0159
   Tương quan (Khoảng cách - Nhu cầu): 0.0642
   Tương quan (Độ rộng TW - Nhu cầu): -0.0397
   Tương quan (Thời gian phục vụ - Nhu cầu): nan

7. DANH SÁCH CHI TIẾT CÁC KHÁCH HÀNG
--------------------------------------------------------------------------------
STT   Tọa độ X   Tọa độ Y   Nhu cầu    Ready      Due        Service    KC từ kho   
--------------------------------------------------------------------------------
2     41.0       49.0       10         73         204        10         15.23       
3     35.0       17.0       7          18         147        10         18.00       
4     55.0       45.0       13         76         165        10         22.36       
5     55.0       20.0       19         73         195        10         25.00       
6     15.0       30.0       26         20         167        10         20.62       
7     25.0       30.0       3          49         158        10         11.18       
8     20.0       50.0       5          36         135        10         21.21       
9     10.0       43.0       9          50         149        10         26.25       
10    55.0       60.0       16         47         156        10         32.02       
11    30.0       60.0       16         85         172        10         25.50       
12    20.0       65.0       12         33         152        10         33.54       
13    50.0       35.0       19         15         133        10         15.00       
14    30.0       25.0       23         79         208        10         11.18       
15    15.0       10.0       20         32         187        10         32.02       
16    30.0       5.0        8          30         152        10         30.41       
17    10.0       20.0       19         29         139        10         29.15       
18    5.0        30.0       2          60         189        10         30.41       
19    20.0       40.0       12         47         136        10         15.81       
20    15.0       60.0       17         32         146        10         32.02       
21    45.0       65.0       9          79         182        10         31.62       
22    45.0       20.0       11         18         136        10         18.03       
23    45.0       10.0       18         50         153        10         26.93       
24    55.0       5.0        29         36         155        10         36.06       
25    65.0       35.0       3          58         190        10         30.00       
26    65.0       20.0       6          56         186        10         33.54       
27    45.0       30.0       17         87         186        10         11.18       
28    35.0       40.0       16         5          140        10         5.00        
29    41.0       37.0       16         6          136        10         6.32        
30    64.0       42.0       9          29         150        10         29.83       
31    40.0       60.0       21         25         132        10         25.50       
32    31.0       52.0       27         17         138        10         17.46       
33    35.0       69.0       23         67         186        10         34.00       
34    53.0       52.0       11         24         161        10         24.76       
35    65.0       55.0       14         70         173        10         36.06       
36    63.0       65.0       8          54         178        10         41.04       
37    2.0        60.0       5          41         178        10         41.40       
38    20.0       20.0       8          87         190        10         21.21       
39    5.0        5.0        16         42         153        10         42.43       
40    60.0       12.0       31         33         186        10         33.97       
41    40.0       25.0       9          40         139        10         11.18       
42    42.0       7.0        5          43         160        10         28.86       
43    24.0       12.0       5          25         158        10         25.50       
44    23.0       3.0        7          82         185        10         34.18       
45    11.0       14.0       18         31         144        10         31.89       
46    6.0        38.0       16         29         169        10         29.15       
47    2.0        48.0       1          63         180        10         35.47       
48    8.0        56.0       27         34         176        10         34.21       
49    13.0       52.0       36         65         192        10         27.80       
50    6.0        68.0       30         73         152        10         43.93       
51    47.0       47.0       13         75         182        10         16.97       
52    49.0       58.0       10         36         149        10         26.93       
53    27.0       43.0       9          11         133        10         11.31       
54    37.0       31.0       14         51         148        10         4.47        
55    57.0       29.0       18         90         197        10         22.80       
56    63.0       23.0       2          69         189        10         30.46       
57    53.0       12.0       6          76         190        10         29.21       
58    32.0       12.0       7          48         163        10         23.19       
59    36.0       26.0       18         84         210        10         9.06        
60    21.0       24.0       28         17         183        10         17.80       
61    17.0       34.0       3          70         201        10         18.03       
62    12.0       24.0       13         29         132        10         25.50       
63    24.0       58.0       19         25         154        10         25.50       
64    27.0       69.0       10         34         172        10         34.93       
65    15.0       77.0       9          46         165        10         46.52       
66    62.0       77.0       20         49         170        10         49.93       
67    49.0       73.0       25         68         179        10         40.50       
68    67.0       5.0        25         43         156        10         43.86       
69    56.0       39.0       36         80         198        10         21.38       
70    37.0       47.0       6          12         137        10         12.17       
71    37.0       56.0       5          48         198        10         21.10       
72    57.0       68.0       15         39         148        10         39.66       
73    47.0       16.0       25         22         170        10         22.47       
74    44.0       17.0       9          30         135        10         20.12       
75    46.0       13.0       8          74         195        10         24.60       
76    49.0       11.0       18         27         141        10         27.78       
77    49.0       42.0       13         27         128        10         15.65       
78    53.0       43.0       14         72         200        10         19.70       
79    61.0       52.0       3          42         159        10         31.06       
80    57.0       48.0       23         47         146        10         25.55       
81    56.0       37.0       6          73         198        10         21.10       
82    55.0       54.0       26         57         140        10         27.59       
83    15.0       47.0       16         23         146        10         23.32       
84    14.0       37.0       11         21         157        10         21.10       
85    11.0       31.0       7          57         154        10         24.33       
86    16.0       22.0       41         44         147        10         23.02       
87    4.0        18.0       35         49         148        10         35.36       
88    28.0       18.0       26         61         134        10         18.38       
