================================================================================
BÁO CÁO TRỰC QUAN HÓA DATASET SOLOMON VRPTW
Dataset: R209
================================================================================

1. THÔNG TIN TỔNG QUAN
--------------------------------------------------------------------------------
   Số lượng khách hàng: 100
   Vị trí kho: (35.0, 35.0)

2. PHÂN TÍCH NHU CẦU
--------------------------------------------------------------------------------
   Tổng nhu cầu: 1458
   Nhu cầu trung bình: 14.58
   Nhu cầu median: 13.00
   Nhu cầu min: 1
   Nhu cầu max: 41
   Độ lệch chuẩn: 8.87

3. PHÂN TÍCH CỬA SỔ THỜI GIAN
--------------------------------------------------------------------------------
   Ready Time sớm nhất: 5
   Ready Time muộn nhất: 694
   Due Date sớm nhất: 301
   Due Date muộn nhất: 981
   Độ rộng TW trung bình: 349.50
   Độ rộng TW median: 310.00
   Độ rộng TW min: 91
   Độ rộng TW max: 764
   Tổng khoảng thời gian: 976

4. PHÂN TÍCH THỜI GIAN PHỤC VỤ
--------------------------------------------------------------------------------
   Service Time trung bình: 10.00
   Service Time median: 10.00
   Service Time min: 10
   Service Time max: 10
   Tổng Service Time: 1000

5. PHÂN TÍCH KHÔNG GIAN
--------------------------------------------------------------------------------
   Phạm vi tọa độ X: 2.0 - 67.0
   Phạm vi tọa độ Y: 3.0 - 77.0
   Khoảng cách trung bình từ kho: 24.95
   Khoảng cách median từ kho: 24.88
   Khoảng cách min từ kho: 4.47
   Khoảng cách max từ kho: 49.93

6. PHÂN TÍCH TƯƠNG QUAN
--------------------------------------------------------------------------------
   Tương quan (Khoảng cách - Độ rộng TW): 0.1228
   Tương quan (Khoảng cách - Nhu cầu): 0.0642
   Tương quan (Độ rộng TW - Nhu cầu): -0.1053
   Tương quan (Thời gian phục vụ - Nhu cầu): nan

7. DANH SÁCH CHI TIẾT CÁC KHÁCH HÀNG
--------------------------------------------------------------------------------
STT   Tọa độ X   Tọa độ Y   Nhu cầu    Ready      Due        Service    KC từ kho   
--------------------------------------------------------------------------------
2     41.0       49.0       10         636        919        10         15.23       
3     35.0       17.0       7          74         351        10         18.00       
4     55.0       45.0       13         498        613        10         22.36       
5     55.0       20.0       19         470        965        10         25.00       
6     15.0       30.0       26         20         370        10         20.62       
7     25.0       30.0       3          266        663        10         11.18       
8     20.0       50.0       5          292        449        10         21.21       
9     10.0       43.0       9          288        597        10         26.25       
10    55.0       60.0       16         254        643        10         32.02       
11    30.0       60.0       16         496        713        10         25.50       
12    20.0       65.0       12         33         510        10         33.54       
13    50.0       35.0       19         170        403        10         15.00       
14    30.0       25.0       23         426        978        10         11.18       
15    15.0       10.0       20         32         454        10         32.02       
16    30.0       5.0        8          30         529        10         30.41       
17    10.0       20.0       19         222        423        10         29.15       
18    5.0        30.0       2          409        959        10         30.41       
19    20.0       40.0       12         349        462        10         15.81       
20    15.0       60.0       17         215        432        10         32.02       
21    45.0       65.0       9          538        709        10         31.62       
22    45.0       20.0       11         156        389        10         18.03       
23    45.0       10.0       18         280        623        10         26.93       
24    55.0       5.0        29         36         513        10         36.06       
25    65.0       35.0       3          633        918        10         30.00       
26    65.0       20.0       6          400        956        10         33.54       
27    45.0       30.0       17         548        707        10         11.18       
28    35.0       40.0       16         5          612        10         5.00        
29    41.0       37.0       16         44         325        10         6.32        
30    64.0       42.0       9          129        374        10         29.83       
31    40.0       60.0       21         115        498        10         25.50       
32    31.0       52.0       27         91         336        10         17.46       
33    35.0       69.0       23         602        835        10         34.00       
34    53.0       52.0       11         24         646        10         24.76       
35    65.0       55.0       14         487        656        10         36.06       
36    63.0       65.0       8          439        948        10         41.04       
37    2.0        60.0       5          41         710        10         41.40       
38    20.0       20.0       8          563        736        10         21.21       
39    5.0        5.0        16         147        560        10         42.43       
40    60.0       12.0       31         33         797        10         33.97       
41    40.0       25.0       9          243        554        10         11.18       
42    42.0       7.0        5          225        682        10         28.86       
43    24.0       12.0       5          25         616        10         25.50       
44    23.0       3.0        7          578        747        10         34.18       
45    11.0       14.0       18         72         501        10         31.89       
46    6.0        38.0       16         29         669        10         29.15       
47    2.0        48.0       1          458        685        10         35.47       
48    8.0        56.0       27         34         362        10         34.21       
49    13.0       52.0       36         694        962        10         27.80       
50    6.0        68.0       30         444        597        10         43.93       
51    47.0       47.0       13         499        690        10         16.97       
52    49.0       58.0       10         296        505        10         26.93       
53    27.0       43.0       9          111        362        10         11.31       
54    37.0       31.0       14         301        602        10         4.47        
55    57.0       29.0       18         595        780        10         22.80       
56    63.0       23.0       2          442        917        10         30.46       
57    53.0       12.0       6          426        851        10         29.21       
58    32.0       12.0       7          366        585        10         23.19       
59    36.0       26.0       18         458        980        10         9.06        
60    21.0       24.0       28         17         441        10         17.80       
61    17.0       34.0       3          651        932        10         18.03       
62    12.0       24.0       13         246        421        10         25.50       
63    24.0       58.0       19         25         583        10         25.50       
64    27.0       69.0       10         34         348        10         34.93       
65    15.0       77.0       9          46         523        10         46.52       
66    62.0       77.0       20         49         608        10         49.93       
67    49.0       73.0       25         440        845        10         40.50       
68    67.0       5.0        25         132        563        10         43.86       
69    56.0       39.0       36         464        925        10         21.38       
70    37.0       47.0       6          12         535        10         12.17       
71    37.0       56.0       5          249        968        10         21.10       
72    57.0       68.0       15         218        417        10         39.66       
73    47.0       16.0       25         22         377        10         22.47       
74    44.0       17.0       9          263        444        10         20.12       
75    46.0       13.0       8          479        965        10         24.60       
76    49.0       11.0       18         182        399        10         27.78       
77    49.0       42.0       13         166        497        10         15.65       
78    53.0       43.0       14         430        970        10         19.70       
79    61.0       52.0       3          212        671        10         31.06       
80    57.0       48.0       23         273        580        10         25.55       
81    56.0       37.0       6          452        968        10         21.10       
82    55.0       54.0       26         388        479        10         27.59       
83    15.0       47.0       16         99         352        10         23.32       
84    14.0       37.0       11         21         328        10         21.10       
85    11.0       31.0       7          323        624        10         24.33       
86    16.0       22.0       41         333        504        10         23.02       
87    4.0        18.0       35         350        503        10         35.36       
88    28.0       18.0       26         380        487        10         18.38       
89    26.0       52.0       9          114        553        10         19.24       
