================================================================================
BÁO CÁO TRỰC QUAN HÓA DATASET SOLOMON VRPTW
Dataset: R210
================================================================================

1. THÔNG TIN TỔNG QUAN
--------------------------------------------------------------------------------
   Số lượng khách hàng: 100
   Vị trí kho: (35.0, 35.0)

2. PHÂN TÍCH NHU CẦU
--------------------------------------------------------------------------------
   Tổng nhu cầu: 1458
   Nhu cầu trung bình: 14.58
   Nhu cầu median: 13.00
   Nhu cầu min: 1
   Nhu cầu max: 41
   Độ lệch chuẩn: 8.87

3. PHÂN TÍCH CỬA SỔ THỜI GIAN
--------------------------------------------------------------------------------
   Ready Time sớm nhất: 6
   Ready Time muộn nhất: 854
   Due Date sớm nhất: 159
   Due Date muộn nhất: 981
   Độ rộng TW trung bình: 383.27
   Độ rộng TW median: 321.00
   Độ rộng TW min: 73
   Độ rộng TW max: 955
   Tổng khoảng thời gian: 975

4. PHÂN TÍCH THỜI GIAN PHỤC VỤ
--------------------------------------------------------------------------------
   Service Time trung bình: 10.00
   Service Time median: 10.00
   Service Time min: 10
   Service Time max: 10
   Tổng Service Time: 1000

5. PHÂN TÍCH KHÔNG GIAN
--------------------------------------------------------------------------------
   Phạm vi tọa độ X: 2.0 - 67.0
   Phạm vi tọa độ Y: 3.0 - 77.0
   Khoảng cách trung bình từ kho: 24.95
   Khoảng cách median từ kho: 24.88
   Khoảng cách min từ kho: 4.47
   Khoảng cách max từ kho: 49.93

6. PHÂN TÍCH TƯƠNG QUAN
--------------------------------------------------------------------------------
   Tương quan (Khoảng cách - Độ rộng TW): -0.2086
   Tương quan (Khoảng cách - Nhu cầu): 0.0642
   Tương quan (Độ rộng TW - Nhu cầu): 0.1189
   Tương quan (Thời gian phục vụ - Nhu cầu): nan

7. DANH SÁCH CHI TIẾT CÁC KHÁCH HÀNG
--------------------------------------------------------------------------------
STT   Tọa độ X   Tọa độ Y   Nhu cầu    Ready      Due        Service    KC từ kho   
--------------------------------------------------------------------------------
2     41.0       49.0       10         190        974        10         15.23       
3     35.0       17.0       7          18         792        10         18.00       
4     55.0       45.0       13         289        822        10         22.36       
5     55.0       20.0       19         679        800        10         25.00       
6     15.0       30.0       26         20         906        10         20.62       
7     25.0       30.0       3          355        574        10         11.18       
8     20.0       50.0       5          72         669        10         21.21       
9     10.0       43.0       9          393        492        10         26.25       
10    55.0       60.0       16         394        503        10         32.02       
11    30.0       60.0       16         517        692        10         25.50       
12    20.0       65.0       12         206        325        10         33.54       
13    50.0       35.0       19         15         725        10         15.00       
14    30.0       25.0       23         694        823        10         11.18       
15    15.0       10.0       20         32         694        10         32.02       
16    30.0       5.0        8          176        299        10         30.41       
17    10.0       20.0       19         102        543        10         29.15       
18    5.0        30.0       2          673        930        10         30.41       
19    20.0       40.0       12         229        582        10         15.81       
20    15.0       60.0       17         95         552        10         32.02       
21    45.0       65.0       9          418        829        10         31.62       
22    45.0       20.0       11         18         727        10         18.03       
23    45.0       10.0       18         349        554        10         26.93       
24    55.0       5.0        29         206        325        10         36.06       
25    65.0       35.0       3          435        960        10         30.00       
26    65.0       20.0       6          826        956        10         33.54       
27    45.0       30.0       17         328        927        10         11.18       
28    35.0       40.0       16         44         315        10         5.00        
29    41.0       37.0       16         6          526        10         6.32        
30    64.0       42.0       9          29         513        10         29.83       
31    40.0       60.0       21         199        414        10         25.50       
32    31.0       52.0       27         17         744        10         17.46       
33    35.0       69.0       23         482        955        10         34.00       
34    53.0       52.0       11         24         299        10         24.76       
35    65.0       55.0       14         265        878        10         36.06       
36    63.0       65.0       8          626        873        10         41.04       
37    2.0        60.0       5          41         328        10         41.40       
38    20.0       20.0       8          339        960        10         21.21       
39    5.0        5.0        16         298        409        10         42.43       
40    60.0       12.0       31         33         344        10         33.97       
41    40.0       25.0       9          300        497        10         11.18       
42    42.0       7.0        5          336        571        10         28.86       
