================================================================================
BÁO CÁO TRỰC QUAN HÓA DATASET SOLOMON VRPTW
Dataset: RC101
================================================================================

1. THÔNG TIN TỔNG QUAN
--------------------------------------------------------------------------------
   Số lượng khách hàng: 100
   Vị trí kho: (40.0, 50.0)

2. PHÂN TÍCH NHU CẦU
--------------------------------------------------------------------------------
   Tổng nhu cầu: 1724
   Nhu cầu trung bình: 17.24
   Nhu cầu median: 16.00
   Nhu cầu min: 2
   Nhu cầu max: 40
   Độ lệch chuẩn: 9.42

3. PHÂN TÍCH CỬA SỔ THỜI GIAN
--------------------------------------------------------------------------------
   Ready Time sớm nhất: 11
   Ready Time muộn nhất: 192
   Due Date sớm nhất: 41
   Due Date muộn nhất: 222
   Độ rộng TW trung bình: 30.00
   Độ rộng TW median: 30.00
   Độ rộng TW min: 30
   Độ rộng TW max: 30
   Tổng khoảng thời gian: 211

4. PHÂN TÍCH THỜI GIAN PHỤC VỤ
--------------------------------------------------------------------------------
   Service Time trung bình: 10.00
   Service Time median: 10.00
   Service Time min: 10
   Service Time max: 10
   Tổng Service Time: 1000

5. PHÂN TÍCH KHÔNG GIAN
--------------------------------------------------------------------------------
   Phạm vi tọa độ X: 0.0 - 95.0
   Phạm vi tọa độ Y: 3.0 - 85.0
   Khoảng cách trung bình từ kho: 33.09
   Khoảng cách median từ kho: 35.35
   Khoảng cách min từ kho: 4.24
   Khoảng cách max từ kho: 58.52

6. PHÂN TÍCH TƯƠNG QUAN
--------------------------------------------------------------------------------
   Tương quan (Khoảng cách - Độ rộng TW): nan
   Tương quan (Khoảng cách - Nhu cầu): 0.1812
   Tương quan (Độ rộng TW - Nhu cầu): nan
   Tương quan (Thời gian phục vụ - Nhu cầu): nan

7. DANH SÁCH CHI TIẾT CÁC KHÁCH HÀNG
--------------------------------------------------------------------------------
STT   Tọa độ X   Tọa độ Y   Nhu cầu    Ready      Due        Service    KC từ kho   
--------------------------------------------------------------------------------
2     25.0       85.0       20         145        175        10         38.08       
3     22.0       75.0       30         50         80         10         30.81       
4     22.0       85.0       10         109        139        10         39.36       
5     20.0       80.0       40         141        171        10         36.06       
6     20.0       85.0       20         41         71         10         40.31       
7     18.0       75.0       20         95         125        10         33.30       
8     15.0       75.0       20         79         109        10         35.36       
9     15.0       80.0       10         91         121        10         39.05       
10    10.0       35.0       20         91         121        10         33.54       
11    10.0       40.0       30         119        149        10         31.62       
12    8.0        40.0       40         59         89         10         33.53       
13    8.0        45.0       20         64         94         10         32.39       
14    5.0        35.0       10         142        172        10         38.08       
15    5.0        45.0       10         35         65         10         35.36       
16    2.0        40.0       20         58         88         10         39.29       
17    0.0        40.0       20         72         102        10         41.23       
18    0.0        45.0       20         149        179        10         40.31       
19    44.0       5.0        20         87         117        10         45.18       
20    42.0       10.0       40         72         102        10         40.05       
21    42.0       15.0       10         122        152        10         35.06       
22    40.0       5.0        10         67         97         10         45.00       
23    40.0       15.0       40         92         122        10         35.00       
24    38.0       5.0        30         65         95         10         45.04       
25    38.0       15.0       10         148        178        10         35.06       
26    35.0       5.0        20         154        184        10         45.28       
27    95.0       30.0       30         115        145        10         58.52       
28    95.0       35.0       20         62         92         10         57.01       
29    92.0       30.0       10         62         92         10         55.71       
30    90.0       35.0       10         67         97         10         52.20       
31    88.0       30.0       10         74         104        10         52.00       
32    88.0       35.0       20         61         91         10         50.29       
33    87.0       30.0       10         131        161        10         51.08       
34    85.0       25.0       10         51         81         10         51.48       
35    85.0       35.0       30         111        141        10         47.43       
36    67.0       85.0       20         139        169        10         44.20       
37    65.0       85.0       40         43         73         10         43.01       
38    65.0       82.0       10         124        154        10         40.61       
39    62.0       80.0       30         75         105        10         37.20       
40    60.0       80.0       10         37         67         10         36.06       
41    60.0       85.0       30         85         115        10         40.31       
42    58.0       75.0       20         92         122        10         30.81       
43    55.0       80.0       10         33         63         10         33.54       
44    55.0       85.0       20         128        158        10         38.08       
45    55.0       82.0       10         64         94         10         35.34       
46    20.0       82.0       10         37         67         10         37.74       
47    18.0       80.0       10         113        143        10         37.20       
48    2.0        45.0       10         45         75         10         38.33       
49    42.0       5.0        10         151        181        10         45.04       
50    42.0       12.0       10         104        134        10         38.05       
51    72.0       35.0       30         116        146        10         35.34       
52    55.0       20.0       19         83         113        10         33.54       
53    25.0       30.0       3          52         82         10         25.00       
54    20.0       50.0       5          91         121        10         20.00       
55    55.0       60.0       16         139        169        10         18.03       
56    30.0       60.0       16         140        170        10         14.14       
57    50.0       35.0       19         130        160        10         18.03       
58    30.0       25.0       23         96         126        10         26.93       
59    15.0       10.0       20         152        182        10         47.17       
60    10.0       20.0       19         42         72         10         42.43       
61    15.0       60.0       17         155        185        10         26.93       
62    45.0       65.0       9          66         96         10         15.81       
63    65.0       35.0       3          52         82         10         29.15       
64    65.0       20.0       6          39         69         10         39.05       
65    45.0       30.0       17         53         83         10         20.62       
66    35.0       40.0       16         11         41         10         11.18       
67    41.0       37.0       16         133        163        10         13.04       
68    64.0       42.0       9          70         100        10         25.30       
69    40.0       60.0       21         144        174        10         10.00       
70    31.0       52.0       27         41         71         10         9.22        
71    35.0       69.0       23         180        210        10         19.65       
72    65.0       55.0       14         65         95         10         25.50       
73    63.0       65.0       8          30         60         10         27.46       
74    2.0        60.0       5          77         107        10         39.29       
75    20.0       20.0       8          141        171        10         36.06       
76    5.0        5.0        16         74         104        10         57.01       
77    60.0       12.0       31         75         105        10         42.94       
78    23.0       3.0        7          150        180        10         49.98       
79    8.0        56.0       27         90         120        10         32.56       
80    6.0        68.0       30         89         119        10         38.47       
81    47.0       47.0       13         192        222        10         7.62        
82    49.0       58.0       10         86         116        10         12.04       
83    27.0       43.0       9          42         72         10         14.76       
84    37.0       31.0       14         35         65         10         19.24       
85    57.0       29.0       18         96         126        10         27.02       
86    63.0       23.0       2          87         117        10         35.47       
87    21.0       24.0       28         87         117        10         32.20       
88    12.0       24.0       13         90         120        10         38.21       
89    24.0       58.0       19         67         97         10         17.89       
90    67.0       5.0        25         144        174        10         52.48       
91    37.0       47.0       6          86         116        10         4.24        
92    49.0       42.0       13         167        197        10         12.04       
93    53.0       43.0       14         14         44         10         14.76       
94    61.0       52.0       3          178        208        10         21.10       
95    57.0       48.0       23         95         125        10         17.12       
96    56.0       37.0       6          34         64         10         20.62       
97    55.0       54.0       26         132        162        10         15.52       
98    4.0        18.0       35         120        150        10         48.17       
99    26.0       52.0       9          46         76         10         14.14       
