================================================================================
BÁO CÁO TRỰC QUAN HÓA DATASET SOLOMON VRPTW
Dataset: RC107
================================================================================

1. THÔNG TIN TỔNG QUAN
--------------------------------------------------------------------------------
   Số lượng khách hàng: 100
   Vị trí kho: (40.0, 50.0)

2. PHÂN TÍCH NHU CẦU
--------------------------------------------------------------------------------
   Tổng nhu cầu: 1724
   Nhu cầu trung bình: 17.24
   Nhu cầu median: 16.00
   Nhu cầu min: 2
   Nhu cầu max: 40
   Độ lệch chuẩn: 9.42

3. PHÂN TÍCH CỬA SỔ THỜI GIAN
--------------------------------------------------------------------------------
   Ready Time sớm nhất: 9
   Ready Time muộn nhất: 151
   Due Date sớm nhất: 84
   Due Date muộn nhất: 222
   Độ rộng TW trung bình: 88.21
   Độ rộng TW median: 80.50
   Độ rộng TW min: 41
   Độ rộng TW max: 155
   Tổng khoảng thời gian: 213

4. PHÂN TÍCH THỜI GIAN PHỤC VỤ
--------------------------------------------------------------------------------
   Service Time trung bình: 10.00
   Service Time median: 10.00
   Service Time min: 10
   Service Time max: 10
   Tổng Service Time: 1000

5. PHÂN TÍCH KHÔNG GIAN
--------------------------------------------------------------------------------
   Phạm vi tọa độ X: 0.0 - 95.0
   Phạm vi tọa độ Y: 3.0 - 85.0
   Khoảng cách trung bình từ kho: 33.09
   Khoảng cách median từ kho: 35.35
   Khoảng cách min từ kho: 4.24
   Khoảng cách max từ kho: 58.52

6. PHÂN TÍCH TƯƠNG QUAN
--------------------------------------------------------------------------------
   Tương quan (Khoảng cách - Độ rộng TW): -0.1052
   Tương quan (Khoảng cách - Nhu cầu): 0.1812
   Tương quan (Độ rộng TW - Nhu cầu): 0.0499
   Tương quan (Thời gian phục vụ - Nhu cầu): nan

7. DANH SÁCH CHI TIẾT CÁC KHÁCH HÀNG
--------------------------------------------------------------------------------
STT   Tọa độ X   Tọa độ Y   Nhu cầu    Ready      Due        Service    KC từ kho   
--------------------------------------------------------------------------------
2     25.0       85.0       20         125        191        10         38.08       
3     22.0       75.0       30         32         97         10         30.81       
4     22.0       85.0       10         101        146        10         39.36       
5     20.0       80.0       40         71         193        10         36.06       
6     20.0       85.0       20         40         113        10         40.31       
7     18.0       75.0       20         55         164        10         33.30       
8     15.0       75.0       20         69         118        10         35.36       
9     15.0       80.0       10         56         155        10         39.05       
10    10.0       35.0       20         51         160        10         33.54       
11    10.0       40.0       30         90         177        10         31.62       
12    8.0        40.0       40         33         152        10         33.53       
13    8.0        45.0       20         49         108        10         32.39       
14    5.0        35.0       10         62         191        10         38.08       
15    5.0        45.0       10         35         117        10         35.36       
16    2.0        40.0       20         39         161        10         39.29       
17    0.0        40.0       20         59         114        10         41.23       
18    0.0        45.0       20         60         189        10         40.31       
19    44.0       5.0        20         79         124        10         45.18       
20    42.0       10.0       40         58         115        10         40.05       
21    42.0       15.0       10         111        162        10         35.06       
22    40.0       5.0        10         52         111        10         45.00       
23    40.0       15.0       40         55         158        10         35.00       
24    38.0       5.0        30         45         164        10         45.04       
25    38.0       15.0       10         128        194        10         35.06       
26    35.0       5.0        20         54         184        10         45.28       
27    95.0       30.0       30         105        154        10         58.52       
28    95.0       35.0       20         57         172        10         57.01       
29    92.0       30.0       10         55         120        10         55.71       
30    90.0       35.0       10         52         112        10         52.20       
31    88.0       30.0       10         52         159        10         52.00       
32    88.0       35.0       20         50         110        10         50.29       
33    87.0       30.0       10         116        175        10         51.08       
34    85.0       25.0       10         51         178        10         51.48       
35    85.0       35.0       30         100        151        10         47.43       
36    67.0       85.0       20         61         185        10         44.20       
37    65.0       85.0       40         43         186        10         43.01       
38    65.0       82.0       10         113        164        10         40.61       
39    62.0       80.0       30         37         148        10         37.20       
40    60.0       80.0       10         36         191        10         36.06       
41    60.0       85.0       30         50         149        10         40.31       
42    58.0       75.0       20         48         165        10         30.81       
43    55.0       80.0       10         33         166        10         33.54       
44    55.0       85.0       20         117        168        10         38.08       
45    55.0       82.0       10         35         148        10         35.34       
46    20.0       82.0       10         37         177        10         37.74       
47    18.0       80.0       10         98         157        10         37.20       
48    2.0        45.0       10         38         109        10         38.33       
49    42.0       5.0        10         120        184        10         45.04       
50    42.0       12.0       10         79         158        10         38.05       
51    72.0       35.0       30         104        157        10         35.34       
52    55.0       20.0       19         69         126        10         33.54       
53    25.0       30.0       3          36         97         10         25.00       
54    20.0       50.0       5          57         154        10         20.00       
55    55.0       60.0       16         127        180        10         18.03       
56    30.0       60.0       16         95         214        10         14.14       
57    50.0       35.0       19         88         201        10         18.03       
58    30.0       25.0       23         82         139        10         26.93       
59    15.0       10.0       20         56         182        10         47.17       
60    10.0       20.0       19         42         125        10         42.43       
61    15.0       60.0       17         137        202        10         26.93       
62    45.0       65.0       9          55         106        10         15.81       
63    65.0       35.0       3          29         158        10         29.15       
64    65.0       20.0       6          39         108        10         39.05       
65    45.0       30.0       17         20         139        10         20.62       
66    35.0       40.0       16         11         140        10         11.18       
67    41.0       37.0       16         92         203        10         13.04       
68    64.0       42.0       9          28         141        10         25.30       
69    40.0       60.0       21         100        217        10         10.00       
70    31.0       52.0       27         9          134        10         9.22        
71    35.0       69.0       23         60         210        10         19.65       
72    65.0       55.0       14         52         107        10         25.50       
73    63.0       65.0       8          27         101        10         27.46       
74    2.0        60.0       5          65         118        10         39.29       
75    20.0       20.0       8          72         193        10         36.06       
76    5.0        5.0        16         60         117        10         57.01       
77    60.0       12.0       31         42         143        10         42.94       
78    23.0       3.0        7          52         180        10         49.98       
79    8.0        56.0       27         46         163        10         32.56       
80    6.0        68.0       30         54         153        10         38.47       
81    47.0       47.0       13         97         222        10         7.62        
82    49.0       58.0       10         80         121        10         12.04       
83    27.0       43.0       9          26         87         10         14.76       
84    37.0       31.0       14         19         87         10         19.24       
85    57.0       29.0       18         62         159        10         27.02       
86    63.0       23.0       2          76         127        10         35.47       
87    21.0       24.0       28         77         126        10         32.20       
88    12.0       24.0       13         68         141        10         38.21       
89    24.0       58.0       19         24         139        10         17.89       
90    67.0       5.0        25         105        177        10         52.48       
91    37.0       47.0       6          74         127        10         4.24        
92    49.0       42.0       13         151        212        10         12.04       
93    53.0       43.0       14         14         155        10         14.76       
94    61.0       52.0       3          69         208        10         21.10       
95    57.0       48.0       23         86         133        10         17.12       
96    56.0       37.0       6          20         84         10         20.62       
97    55.0       54.0       26         121        172        10         15.52       
98    4.0        18.0       35         112        157        10         48.17       
99    26.0       52.0       9          30         91         10         14.14       
100   26.0       35.0       15         37         146        10         20.52       
101   31.0       67.0       3          66         210        10         19.24       

================================================================================
Báo cáo được tạo tự động từ VRPTWVisualizer
================================================================================
