================================================================================
BÁO CÁO TRỰC QUAN HÓA DATASET SOLOMON VRPTW
Dataset: RC205
================================================================================

1. THÔNG TIN TỔNG QUAN
--------------------------------------------------------------------------------
   Số lượng khách hàng: 100
   Vị trí kho: (40.0, 50.0)

2. PHÂN TÍCH NHU CẦU
--------------------------------------------------------------------------------
   Tổng nhu cầu: 1724
   Nhu cầu trung bình: 17.24
   Nhu cầu median: 16.00
   Nhu cầu min: 2
   Nhu cầu max: 40
   Độ lệch chuẩn: 9.42

3. PHÂN TÍCH CỬA SỔ THỜI GIAN
--------------------------------------------------------------------------------
   Ready Time sớm nhất: 11
   Ready Time muộn nhất: 870
   Due Date sớm nhất: 74
   Due Date muộn nhất: 942
   Độ rộng TW trung bình: 223.06
   Độ rộng TW median: 160.00
   Độ rộng TW min: 60
   Độ rộng TW max: 480
   Tổng khoảng thời gian: 931

4. PHÂN TÍCH THỜI GIAN PHỤC VỤ
--------------------------------------------------------------------------------
   Service Time trung bình: 10.00
   Service Time median: 10.00
   Service Time min: 10
   Service Time max: 10
   Tổng Service Time: 1000

5. PHÂN TÍCH KHÔNG GIAN
--------------------------------------------------------------------------------
   Phạm vi tọa độ X: 0.0 - 95.0
   Phạm vi tọa độ Y: 3.0 - 85.0
   Khoảng cách trung bình từ kho: 33.09
   Khoảng cách median từ kho: 35.35
   Khoảng cách min từ kho: 4.24
   Khoảng cách max từ kho: 58.52

6. PHÂN TÍCH TƯƠNG QUAN
--------------------------------------------------------------------------------
   Tương quan (Khoảng cách - Độ rộng TW): 0.0707
   Tương quan (Khoảng cách - Nhu cầu): 0.1812
   Tương quan (Độ rộng TW - Nhu cầu): -0.1089
   Tương quan (Thời gian phục vụ - Nhu cầu): nan

7. DANH SÁCH CHI TIẾT CÁC KHÁCH HÀNG
--------------------------------------------------------------------------------
STT   Tọa độ X   Tọa độ Y   Nhu cầu    Ready      Due        Service    KC từ kho   
--------------------------------------------------------------------------------
2     25.0       85.0       20         431        911        10         38.08       
3     22.0       75.0       30         30         510        10         30.81       
4     22.0       85.0       10         291        771        10         39.36       
5     20.0       80.0       40         674        734        10         36.06       
6     20.0       85.0       20         40         520        10         40.31       
7     18.0       75.0       20         393        502        10         33.30       
8     15.0       75.0       20         120        600        10         35.36       
9     15.0       80.0       10         397        457        10         39.05       
10    10.0       35.0       20         401        461        10         33.54       
11    10.0       40.0       30         535        622        10         31.62       
12    8.0        40.0       40         225        285        10         33.53       
13    8.0        45.0       20         43         523        10         32.39       
14    5.0        35.0       10         683        743        10         38.08       
15    5.0        45.0       10         35         366        10         35.36       
16    2.0        40.0       20         204        264        10         39.29       
17    0.0        40.0       20         204        425        10         41.23       
18    0.0        45.0       20         698        827        10         40.31       
19    44.0       5.0        20         306        483        10         45.18       
20    42.0       10.0       40         199        428        10         40.05       
21    42.0       15.0       10         494        699        10         35.06       
22    40.0       5.0        10         45         525        10         45.00       
23    40.0       15.0       40         383        486        10         35.00       
24    38.0       5.0        30         231        291        10         45.04       
25    38.0       15.0       10         609        872        10         35.06       
26    35.0       5.0        20         821        881        10         45.28       
27    95.0       30.0       30         349        829        10         58.52       
28    95.0       35.0       20         138        273        10         57.01       
29    92.0       30.0       10         78         339        10         55.71       
30    90.0       35.0       10         132        375        10         52.20       
31    88.0       30.0       10         252        359        10         52.00       
32    88.0       35.0       20         50         530        10         50.29       
33    87.0       30.0       10         562        799        10         51.08       
34    85.0       25.0       10         71         208        10         51.48       
35    85.0       35.0       30         307        787        10         47.43       
36    67.0       85.0       20         655        778        10         44.20       
37    65.0       85.0       40         43         186        10         43.01       
38    65.0       82.0       10         377        857        10         40.61       
39    62.0       80.0       30         308        368        10         37.20       
40    60.0       80.0       10         46         201        10         36.06       
41    60.0       85.0       30         339        438        10         40.31       
42    58.0       75.0       20         377        494        10         30.81       
43    55.0       80.0       10         33         166        10         33.54       
44    55.0       85.0       20         531        736        10         38.08       
45    55.0       82.0       10         247        307        10         35.34       
46    20.0       82.0       10         37         177        10         37.74       
47    18.0       80.0       10         432        665        10         37.20       
48    2.0        45.0       10         38         322        10         38.33       
49    42.0       5.0        10         424        904        10         45.04       
50    42.0       12.0       10         460        539        10         38.05       
51    72.0       35.0       30         327        807        10         35.34       
52    55.0       20.0       19         273        498        10         33.54       
53    25.0       30.0       3          25         505        10         25.00       
54    20.0       50.0       5          405        465        10         20.00       
55    55.0       60.0       16         554        767        10         18.03       
56    30.0       60.0       16         629        689        10         14.14       
57    50.0       35.0       19         560        673        10         18.03       
58    30.0       25.0       23         342        571        10         26.93       
59    15.0       10.0       20         842        902        10         47.17       
60    10.0       20.0       19         42         522        10         42.43       
61    15.0       60.0       17         623        884        10         26.93       
62    45.0       65.0       9          214        421        10         15.81       
63    65.0       35.0       3          197        257        10         29.15       
64    65.0       20.0       6          39         316        10         39.05       
65    45.0       30.0       17         191        310        10         20.62       
66    35.0       40.0       16         11         140        10         11.18       
67    41.0       37.0       16         570        681        10         13.04       
68    64.0       42.0       9          298        358        10         25.30       
69    40.0       60.0       21         613        730        10         10.00       
70    31.0       52.0       27         187        247        10         9.22        
71    35.0       69.0       23         780        930        10         19.65       
72    65.0       55.0       14         191        410        10         25.50       
73    63.0       65.0       8          27         507        10         27.46       
74    2.0        60.0       5          240        451        10         39.29       
75    20.0       20.0       8          675        735        10         36.06       
76    5.0        5.0        16         57         537        10         57.01       
77    60.0       12.0       31         298        358        10         42.94       
78    23.0       3.0        7          794        854        10         49.98       
