================================================================================
BÁO CÁO TRỰC QUAN HÓA DATASET SOLOMON VRPTW
Dataset: RC207
================================================================================

1. THÔNG TIN TỔNG QUAN
--------------------------------------------------------------------------------
   Số lượng khách hàng: 100
   Vị trí kho: (40.0, 50.0)

2. PHÂN TÍCH NHU CẦU
--------------------------------------------------------------------------------
   Tổng nhu cầu: 1724
   Nhu cầu trung bình: 17.24
   Nhu cầu median: 16.00
   Nhu cầu min: 2
   Nhu cầu max: 40
   Độ lệch chuẩn: 9.42

3. PHÂN TÍCH CỬA SỔ THỜI GIAN
--------------------------------------------------------------------------------
   Ready Time sớm nhất: 9
   Ready Time muộn nhất: 651
   Due Date sớm nhất: 299
   Due Date muộn nhất: 942
   Độ rộng TW trung bình: 349.50
   Độ rộng TW median: 310.00
   Độ rộng TW min: 91
   Độ rộng TW max: 764
   Tổng khoảng thời gian: 933

4. PHÂN TÍCH THỜI GIAN PHỤC VỤ
--------------------------------------------------------------------------------
   Service Time trung bình: 10.00
   Service Time median: 10.00
   Service Time min: 10
   Service Time max: 10
   Tổng Service Time: 1000

5. PHÂN TÍCH KHÔNG GIAN
--------------------------------------------------------------------------------
   Phạm vi tọa độ X: 0.0 - 95.0
   Phạm vi tọa độ Y: 3.0 - 85.0
   Khoảng cách trung bình từ kho: 33.09
   Khoảng cách median từ kho: 35.35
   Khoảng cách min từ kho: 4.24
   Khoảng cách max từ kho: 58.52

6. PHÂN TÍCH TƯƠNG QUAN
--------------------------------------------------------------------------------
   Tương quan (Khoảng cách - Độ rộng TW): -0.0720
   Tương quan (Khoảng cách - Nhu cầu): 0.1812
   Tương quan (Độ rộng TW - Nhu cầu): -0.0178
   Tương quan (Thời gian phục vụ - Nhu cầu): nan

7. DANH SÁCH CHI TIẾT CÁC KHÁCH HÀNG
--------------------------------------------------------------------------------
STT   Tọa độ X   Tọa độ Y   Nhu cầu    Ready      Due        Service    KC từ kho   
--------------------------------------------------------------------------------
2     25.0       85.0       20         591        874        10         38.08       
3     22.0       75.0       30         73         350        10         30.81       
4     22.0       85.0       10         473        588        10         39.36       
5     20.0       80.0       40         418        913        10         36.06       
6     20.0       85.0       20         40         390        10         40.31       
7     18.0       75.0       20         249        646        10         33.30       
8     15.0       75.0       20         281        438        10         35.36       
9     15.0       80.0       10         272        581        10         39.05       
10    10.0       35.0       20         236        625        10         33.54       
11    10.0       40.0       30         470        687        10         31.62       
12    8.0        40.0       40         33         510        10         33.53       
13    8.0        45.0       20         166        399        10         32.39       
14    5.0        35.0       10         359        911        10         38.08       
15    5.0        45.0       10         35         457        10         35.36       
16    2.0        40.0       20         39         538        10         39.29       
17    0.0        40.0       20         214        415        10         41.23       
18    0.0        45.0       20         359        909        10         40.31       
19    44.0       5.0        20         338        451        10         45.18       
20    42.0       10.0       40         205        422        10         40.05       
21    42.0       15.0       10         511        682        10         35.06       
22    40.0       5.0        10         158        391        10         45.00       
23    40.0       15.0       40         263        606        10         35.00       
24    38.0       5.0        30         45         522        10         45.04       
25    38.0       15.0       10         598        883        10         35.06       
26    35.0       5.0        20         348        904        10         45.28       
27    95.0       30.0       30         509        668        10         58.52       
28    95.0       35.0       20         57         664        10         57.01       
29    92.0       30.0       10         68         349        10         55.71       
30    90.0       35.0       10         131        376        10         52.20       
31    88.0       30.0       10         114        497        10         52.00       
32    88.0       35.0       20         102        347        10         50.29       
33    87.0       30.0       10         564        797        10         51.08       
34    85.0       25.0       10         51         673        10         51.48       
35    85.0       35.0       30         462        631        10         47.43       
36    67.0       85.0       20         396        905        10         44.20       
37    65.0       85.0       40         43         712        10         43.01       
38    65.0       82.0       10         530        703        10         40.61       
39    62.0       80.0       30         131        544        10         37.20       
40    60.0       80.0       10         36         800        10         36.06       
41    60.0       85.0       30         233        544        10         40.31       
42    58.0       75.0       20         207        664        10         30.81       
43    55.0       80.0       10         33         624        10         33.54       
44    55.0       85.0       20         549        718        10         38.08       
45    55.0       82.0       10         62         491        10         35.34       
46    20.0       82.0       10         37         677        10         37.74       
47    18.0       80.0       10         435        662        10         37.20       
48    2.0        45.0       10         38         366        10         38.33       
49    42.0       5.0        10         636        904        10         45.04       
50    42.0       12.0       10         423        576        10         38.05       
51    72.0       35.0       30         471        662        10         35.34       
52    55.0       20.0       19         281        490        10         33.54       
53    25.0       30.0       3          109        360        10         25.00       
54    20.0       50.0       5          284        585        10         20.00       
55    55.0       60.0       16         568        753        10         18.03       
56    30.0       60.0       16         421        896        10         14.14       
57    50.0       35.0       19         404        829        10         18.03       
58    30.0       25.0       23         347        566        10         26.93       
59    15.0       10.0       20         380        902        10         47.17       
60    10.0       20.0       19         42         466        10         42.43       
61    15.0       60.0       17         613        894        10         26.93       
62    45.0       65.0       9          230        405        10         15.81       
63    65.0       35.0       3          29         587        10         29.15       
64    65.0       20.0       6          39         353        10         39.05       
65    45.0       30.0       17         20         497        10         20.62       
66    35.0       40.0       16         11         570        10         11.18       
67    41.0       37.0       16         423        828        10         13.04       
68    64.0       42.0       9          112        543        10         25.30       
69    40.0       60.0       21         441        902        10         10.00       
70    31.0       52.0       27         9          532        10         9.22        
71    35.0       69.0       23         211        930        10         19.65       
72    65.0       55.0       14         201        400        10         25.50       
73    63.0       65.0       8          27         382        10         27.46       
74    2.0        60.0       5          255        436        10         39.29       
75    20.0       20.0       8          427        913        10         36.06       
76    5.0        5.0        16         183        400        10         57.01       
77    60.0       12.0       31         162        493        10         42.94       
78    23.0       3.0        7          360        900        10         49.98       
79    8.0        56.0       27         195        654        10         32.56       
80    6.0        68.0       30         258        565        10         38.47       
81    47.0       47.0       13         426        942        10         7.62        
82    49.0       58.0       10         369        460        10         12.04       
83    27.0       43.0       9          85         338        10         14.76       
84    37.0       31.0       14         19         326        10         19.24       
85    57.0       29.0       18         304        605        10         27.02       
86    63.0       23.0       2          318        489        10         35.47       
87    21.0       24.0       28         332        485        10         32.20       
88    12.0       24.0       13         365        472        10         38.21       
89    24.0       58.0       19         100        539        10         17.89       
90    67.0       5.0        25         565        897        10         52.48       
91    37.0       47.0       6          324        513        10         4.24        
92    49.0       42.0       13         651        906        10         12.04       
93    53.0       43.0       14         14         669        10         14.76       
94    61.0       52.0       3          298        928        10         21.10       
95    57.0       48.0       23         385        518        10         17.12       
96    56.0       37.0       6          20         299        10         20.62       
97    55.0       54.0       26         538        705        10         15.52       
98    4.0        18.0       35         546        667        10         48.17       
99    26.0       52.0       9          109        354        10         14.14       
100   26.0       35.0       15         170        565        10         20.52       
101   31.0       67.0       3          262        930        10         19.24       

================================================================================
Báo cáo được tạo tự động từ VRPTWVisualizer
================================================================================
